Data;Województwo;Przypadki narastająco
11.05.2020;Pomorskie;485
11.05.2020;Śląskie;3779
11.05.2020;Świętokrzyskie;325
11.05.2020;Warmińsko-mazurskie;162
11.05.2020;Wielkopolskie;1699
11.05.2020;Zachodniopomorskie;474
12.05.2020;Dolnośląskie;2056
12.05.2020;Kujawsko-pomorskie;577
12.05.2020;Lubelskie;396
12.05.2020;Lubuskie;92
12.05.2020;Łódzkie;1201
12.05.2020;Małopolskie;1074
12.05.2020;Mazowieckie;2829
12.05.2020;Opolskie;498
12.05.2020;Podkarpackie;371
12.05.2020;Podlaskie;385
12.05.2020;Pomorskie;489
12.05.2020;Śląskie;4271
12.05.2020;Świętokrzyskie;328
12.05.2020;Warmińsko-mazurskie;164
12.05.2020;Wielkopolskie;1710
12.05.2020;Zachodniopomorskie;480
13.05.2020;Dolnośląskie;2100
13.05.2020;Kujawsko-pomorskie;577
13.05.2020;Lubelskie;398
13.05.2020;Lubuskie;92
13.05.2020;Łódzkie;1212
13.05.2020;Małopolskie;1084
13.05.2020;Mazowieckie;2880
13.05.2020;Opolskie;502
13.05.2020;Podkarpackie;371
13.05.2020;Podlaskie;385
13.05.2020;Pomorskie;491
13.05.2020;Śląskie;4399
13.05.2020;Świętokrzyskie;337
13.05.2020;Warmińsko-mazurskie;168
13.05.2020;Wielkopolskie;1722
13.05.2020;Zachodniopomorskie;486
14.05.2020;Dolnośląskie;2125
14.05.2020;Kujawsko-pomorskie;578
14.05.2020;Lubelskie;400
14.05.2020;Lubuskie;92
14.05.2020;Łódzkie;1219
14.05.2020;Małopolskie;1108
14.05.2020;Mazowieckie;2902
14.05.2020;Opolskie;510
14.05.2020;Podkarpackie;373
14.05.2020;Podlaskie;386
14.05.2020;Pomorskie;492
14.05.2020;Śląskie;4701
14.05.2020;Świętokrzyskie;337
14.05.2020;Warmińsko-mazurskie;169
14.05.2020;Wielkopolskie;1735
14.05.2020;Zachodniopomorskie;488
15.05.2020;Dolnośląskie;2141
15.05.2020;Kujawsko-pomorskie;581
15.05.2020;Lubelskie;401
15.05.2020;Lubuskie;92
15.05.2020;Łódzkie;1227
15.05.2020;Małopolskie;1117
15.05.2020;Mazowieckie;2930
15.05.2020;Opolskie;527
15.05.2020;Podkarpackie;373
15.05.2020;Podlaskie;387
15.05.2020;Pomorskie;493
15.05.2020;Śląskie;4994
15.05.2020;Świętokrzyskie;340
15.05.2020;Warmińsko-mazurskie;170
15.05.2020;Wielkopolskie;1752
15.05.2020;Zachodniopomorskie;491
16.05.2020;Dolnośląskie;2160
16.05.2020;Kujawsko-pomorskie;582
16.05.2020;Lubelskie;401
16.05.2020;Lubuskie;92
16.05.2020;Łódzkie;1234
16.05.2020;Małopolskie;1124
16.05.2020;Mazowieckie;2949
16.05.2020;Opolskie;535
16.05.2020;Podkarpackie;374
16.05.2020;Podlaskie;387
16.05.2020;Pomorskie;500
16.05.2020;Śląskie;5159
16.05.2020;Świętokrzyskie;341
16.05.2020;Warmińsko-mazurskie;170
16.05.2020;Wielkopolskie;1757
16.05.2020;Zachodniopomorskie;492
17.05.2020;Dolnośląskie;2166
17.05.2020;Kujawsko-pomorskie;582
17.05.2020;Lubelskie;402
17.05.2020;Lubuskie;92
17.05.2020;Łódzkie;1240
17.05.2020;Małopolskie;1128
17.05.2020;Mazowieckie;2970
17.05.2020;Opolskie;544
17.05.2020;Podkarpackie;374
17.05.2020;Podlaskie;388
17.05.2020;Pomorskie;502
17.05.2020;Śląskie;5339
17.05.2020;Świętokrzyskie;341
17.05.2020;Warmińsko-mazurskie;170
17.05.2020;Wielkopolskie;1797
17.05.2020;Zachodniopomorskie;494
18.05.2020;Dolnośląskie;2226
18.05.2020;Kujawsko-pomorskie;582
18.05.2020;Lubelskie;409
18.05.2020;Lubuskie;92
18.05.2020;Łódzkie;1251
18.05.2020;Małopolskie;1133
18.05.2020;Mazowieckie;3003
18.05.2020;Opolskie;551
18.05.2020;Podkarpackie;374
18.05.2020;Podlaskie;389
18.05.2020;Pomorskie;502
18.05.2020;Śląskie;5544
18.05.2020;Świętokrzyskie;352
18.05.2020;Warmińsko-mazurskie;170
18.05.2020;Wielkopolskie;1810
18.05.2020;Zachodniopomorskie;497
19.05.2020;Dolnośląskie;2257
19.05.2020;Kujawsko-pomorskie;583
19.05.2020;Lubelskie;409
19.05.2020;Lubuskie;92
19.05.2020;Łódzkie;1257
19.05.2020;Małopolskie;1148
19.05.2020;Mazowieckie;3040
19.05.2020;Opolskie;555
19.05.2020;Podkarpackie;374
19.05.2020;Podlaskie;398
19.05.2020;Pomorskie;503
19.05.2020;Śląskie;5807
19.05.2020;Świętokrzyskie;353
19.05.2020;Warmińsko-mazurskie;175
19.05.2020;Wielkopolskie;1815
19.05.2020;Zachodniopomorskie;502
20.05.2020;Dolnośląskie;2276
20.05.2020;Kujawsko-pomorskie;584
20.05.2020;Lubelskie;411
20.05.2020;Lubuskie;92
20.05.2020;Łódzkie;1273
20.05.2020;Małopolskie;1150
20.05.2020;Mazowieckie;3082
20.05.2020;Opolskie;568
20.05.2020;Podkarpackie;374
20.05.2020;Podlaskie;405
20.05.2020;Pomorskie;508
20.05.2020;Śląskie;6082
20.05.2020;Świętokrzyskie;357
20.05.2020;Warmińsko-mazurskie;175
20.05.2020;Wielkopolskie;1899
20.05.2020;Zachodniopomorskie;503
21.05.2020;Dolnośląskie;2295
21.05.2020;Kujawsko-pomorskie;587
21.05.2020;Lubelskie;417
21.05.2020;Lubuskie;95
21.05.2020;Łódzkie;1279
21.05.2020;Małopolskie;1165
21.05.2020;Mazowieckie;3128
21.05.2020;Opolskie;576
21.05.2020;Podkarpackie;375
21.05.2020;Podlaskie;405
21.05.2020;Pomorskie;513
21.05.2020;Śląskie;6333
21.05.2020;Świętokrzyskie;361
21.05.2020;Warmińsko-mazurskie;174
21.05.2020;Wielkopolskie;1925
21.05.2020;Zachodniopomorskie;515
22.05.2020;Dolnośląskie;2366
22.05.2020;Kujawsko-pomorskie;590
22.05.2020;Lubelskie;420
22.05.2020;Lubuskie;97
22.05.2020;Łódzkie;1316
22.05.2020;Małopolskie;1167
22.05.2020;Mazowieckie;3157
22.05.2020;Opolskie;586
22.05.2020;Podkarpackie;376
22.05.2020;Podlaskie;411
22.05.2020;Pomorskie;517
22.05.2020;Śląskie;6618
22.05.2020;Świętokrzyskie;366
22.05.2020;Warmińsko-mazurskie;174
22.05.2020;Wielkopolskie;1941
22.05.2020;Zachodniopomorskie;517
23.05.2020;Dolnośląskie;2399
23.05.2020;Kujawsko-pomorskie;592
23.05.2020;Lubelskie;421
23.05.2020;Lubuskie;99
23.05.2020;Łódzkie;1324
23.05.2020;Małopolskie;1171
23.05.2020;Mazowieckie;3197
23.05.2020;Opolskie;590
23.05.2020;Podkarpackie;377
23.05.2020;Podlaskie;414
23.05.2020;Pomorskie;527
23.05.2020;Śląskie;6797
23.05.2020;Świętokrzyskie;374
23.05.2020;Warmińsko-mazurskie;175
23.05.2020;Wielkopolskie;1953
23.05.2020;Zachodniopomorskie;521
24.05.2020;Dolnośląskie;2418
24.05.2020;Kujawsko-pomorskie;593
24.05.2020;Lubelskie;434
24.05.2020;Lubuskie;103
24.05.2020;Łódzkie;1347
24.05.2020;Małopolskie;1176
24.05.2020;Mazowieckie;3217
24.05.2020;Opolskie;593
24.05.2020;Podkarpackie;378
24.05.2020;Podlaskie;418
24.05.2020;Pomorskie;533
24.05.2020;Śląskie;6982
24.05.2020;Świętokrzyskie;382
24.05.2020;Warmińsko-mazurskie;175
24.05.2020;Wielkopolskie;2055
24.05.2020;Zachodniopomorskie;522
25.05.2020;Dolnośląskie;2455
25.05.2020;Kujawsko-pomorskie;594
25.05.2020;Lubelskie;446
25.05.2020;Lubuskie;108
25.05.2020;Łódzkie;1362
25.05.2020;Małopolskie;1176
25.05.2020;Mazowieckie;3283
25.05.2020;Opolskie;598
25.05.2020;Podkarpackie;378
25.05.2020;Podlaskie;423
25.05.2020;Pomorskie;540
25.05.2020;Śląskie;7140
25.05.2020;Świętokrzyskie;392
25.05.2020;Warmińsko-mazurskie;175
25.05.2020;Wielkopolskie;2040
25.05.2020;Zachodniopomorskie;521
26.05.2020;Dolnośląskie;2471
26.05.2020;Kujawsko-pomorskie;594
26.05.2020;Lubelskie;449
26.05.2020;Lubuskie;111
26.05.2020;Łódzkie;1384
26.05.2020;Małopolskie;1179
26.05.2020;Mazowieckie;3359
26.05.2020;Opolskie;601
26.05.2020;Podkarpackie;378
26.05.2020;Podlaskie;430
26.05.2020;Pomorskie;542
26.05.2020;Śląskie;7414
26.05.2020;Świętokrzyskie;399
26.05.2020;Warmińsko-mazurskie;179
26.05.2020;Wielkopolskie;2059
26.05.2020;Zachodniopomorskie;525
27.05.2020;Dolnośląskie;2512
27.05.2020;Kujawsko-pomorskie;595
27.05.2020;Lubelskie;471
27.05.2020;Lubuskie;111
27.05.2020;Łódzkie;1412
27.05.2020;Małopolskie;1181
27.05.2020;Mazowieckie;3396
27.05.2020;Opolskie;610
27.05.2020;Podkarpackie;378
27.05.2020;Podlaskie;439
27.05.2020;Pomorskie;546
27.05.2020;Śląskie;7590
27.05.2020;Świętokrzyskie;408
27.05.2020;Warmińsko-mazurskie;179
27.05.2020;Wielkopolskie;2118
27.05.2020;Zachodniopomorskie;527
28.05.2020;Dolnośląskie;2530
28.05.2020;Kujawsko-pomorskie;595
28.05.2020;Lubelskie;487
28.05.2020;Lubuskie;113
28.05.2020;Łódzkie;1458
28.05.2020;Małopolskie;1190
28.05.2020;Mazowieckie;3461
28.05.2020;Opolskie;622
28.05.2020;Podkarpackie;380
28.05.2020;Podlaskie;442
28.05.2020;Pomorskie;548
28.05.2020;Śląskie;7728
28.05.2020;Świętokrzyskie;432
28.05.2020;Warmińsko-mazurskie;179
28.05.2020;Wielkopolskie;2133
28.05.2020;Zachodniopomorskie;527
29.05.2020;Dolnośląskie;2556
29.05.2020;Kujawsko-pomorskie;594
29.05.2020;Lubelskie;486
29.05.2020;Lubuskie;114
29.05.2020;Łódzkie;1488
29.05.2020;Małopolskie;1199
29.05.2020;Mazowieckie;3494
29.05.2020;Opolskie;631
29.05.2020;Podkarpackie;382
29.05.2020;Podlaskie;445
29.05.2020;Pomorskie;552
29.05.2020;Śląskie;7919
29.05.2020;Świętokrzyskie;439
29.05.2020;Warmińsko-mazurskie;179
29.05.2020;Wielkopolskie;2146
29.05.2020;Zachodniopomorskie;531
30.05.2020;Dolnośląskie;2581
30.05.2020;Kujawsko-pomorskie;594
30.05.2020;Lubelskie;486
30.05.2020;Lubuskie;116
30.05.2020;Łódzkie;1523
30.05.2020;Małopolskie;1215
30.05.2020;Mazowieckie;3546
30.05.2020;Opolskie;642
30.05.2020;Podkarpackie;382
30.05.2020;Podlaskie;449
30.05.2020;Pomorskie;552
30.05.2020;Śląskie;8151
30.05.2020;Świętokrzyskie;473
30.05.2020;Warmińsko-mazurskie;179
30.05.2020;Wielkopolskie;2147
30.05.2020;Zachodniopomorskie;535
31.05.2020;Dolnośląskie;2594
31.05.2020;Kujawsko-pomorskie;594
31.05.2020;Lubelskie;493
31.05.2020;Lubuskie;116
31.05.2020;Łódzkie;1553
31.05.2020;Małopolskie;1225
31.05.2020;Mazowieckie;3581
31.05.2020;Opolskie;643
31.05.2020;Podkarpackie;387
31.05.2020;Podlaskie;450
31.05.2020;Pomorskie;553
31.05.2020;Śląskie;8252
31.05.2020;Świętokrzyskie;480
31.05.2020;Warmińsko-mazurskie;179
31.05.2020;Wielkopolskie;2150
31.05.2020;Zachodniopomorskie;536
01.06.2020;Dolnośląskie;2630
01.06.2020;Kujawsko-pomorskie;593
01.06.2020;Lubelskie;495
01.06.2020;Lubuskie;118
01.06.2020;Łódzkie;1610
01.06.2020;Małopolskie;1232
01.06.2020;Mazowieckie;3628
01.06.2020;Opolskie;652
01.06.2020;Podkarpackie;387
01.06.2020;Podlaskie;458
01.06.2020;Pomorskie;558
01.06.2020;Śląskie;8448
01.06.2020;Świętokrzyskie;486
01.06.2020;Warmińsko-mazurskie;179
01.06.2020;Wielkopolskie;2155
01.06.2020;Zachodniopomorskie;536
02.06.2020;Dolnośląskie;2639
02.06.2020;Kujawsko-pomorskie;594
02.06.2020;Lubelskie;495
02.06.2020;Lubuskie;120
02.06.2020;Łódzkie;1613
02.06.2020;Małopolskie;1241
02.06.2020;Mazowieckie;3660
02.06.2020;Opolskie;666
02.06.2020;Podkarpackie;387
02.06.2020;Podlaskie;463
02.06.2020;Pomorskie;559
02.06.2020;Śląskie;8557
02.06.2020;Świętokrzyskie;493
02.06.2020;Warmińsko-mazurskie;179
02.06.2020;Wielkopolskie;2188
02.06.2020;Zachodniopomorskie;541
03.06.2020;Dolnośląskie;2649
03.06.2020;Kujawsko-pomorskie;595
03.06.2020;Lubelskie;503
03.06.2020;Lubuskie;122
03.06.2020;Łódzkie;1667
03.06.2020;Małopolskie;1257
03.06.2020;Mazowieckie;3688
03.06.2020;Opolskie;685
03.06.2020;Podkarpackie;388
03.06.2020;Podlaskie;473
03.06.2020;Pomorskie;559
03.06.2020;Śląskie;8666
03.06.2020;Świętokrzyskie;502
03.06.2020;Warmińsko-mazurskie;179
03.06.2020;Wielkopolskie;2206
03.06.2020;Zachodniopomorskie;548
04.06.2020;Dolnośląskie;2660
04.06.2020;Kujawsko-pomorskie;599
04.06.2020;Lubelskie;504
04.06.2020;Lubuskie;122
04.06.2020;Łódzkie;1779
04.06.2020;Małopolskie;1278
04.06.2020;Mazowieckie;3738
04.06.2020;Opolskie;693
04.06.2020;Podkarpackie;388
04.06.2020;Podlaskie;485
04.06.2020;Pomorskie;560
04.06.2020;Śląskie;8786
04.06.2020;Świętokrzyskie;511
04.06.2020;Warmińsko-mazurskie;179
04.06.2020;Wielkopolskie;2216
04.06.2020;Zachodniopomorskie;550
05.06.2020;Dolnośląskie;2680
05.06.2020;Kujawsko-pomorskie;601
05.06.2020;Lubelskie;505
05.06.2020;Lubuskie;124
05.06.2020;Łódzkie;1826
05.06.2020;Małopolskie;1305
05.06.2020;Mazowieckie;3796
05.06.2020;Opolskie;701
05.06.2020;Podkarpackie;388
05.06.2020;Podlaskie;493
05.06.2020;Pomorskie;564
05.06.2020;Śląskie;8963
05.06.2020;Świętokrzyskie;512
05.06.2020;Warmińsko-mazurskie;180
05.06.2020;Wielkopolskie;2219
05.06.2020;Zachodniopomorskie;553
06.06.2020;Dolnośląskie;2700
06.06.2020;Kujawsko-pomorskie;601
06.06.2020;Lubelskie;508
06.06.2020;Lubuskie;124
06.06.2020;Łódzkie;1888
06.06.2020;Małopolskie;1327
06.06.2020;Mazowieckie;3843
06.06.2020;Opolskie;720
06.06.2020;Podkarpackie;389
06.06.2020;Podlaskie;497
06.06.2020;Pomorskie;568
06.06.2020;Śląskie;9314
06.06.2020;Świętokrzyskie;515
06.06.2020;Warmińsko-mazurskie;180
06.06.2020;Wielkopolskie;2259
06.06.2020;Zachodniopomorskie;553
07.06.2020;Dolnośląskie;2708
07.06.2020;Kujawsko-pomorskie;601
07.06.2020;Lubelskie;514
07.06.2020;Lubuskie;126
07.06.2020;Łódzkie;2007
07.06.2020;Małopolskie;1359
07.06.2020;Mazowieckie;3879
07.06.2020;Opolskie;728
07.06.2020;Podkarpackie;391
07.06.2020;Podlaskie;518
07.06.2020;Pomorskie;569
07.06.2020;Śląskie;9639
07.06.2020;Świętokrzyskie;515
07.06.2020;Warmińsko-mazurskie;180
07.06.2020;Wielkopolskie;2273
07.06.2020;Zachodniopomorskie;554
08.06.2020;Dolnośląskie;2724
08.06.2020;Kujawsko-pomorskie;602
08.06.2020;Lubelskie;515
08.06.2020;Lubuskie;126
08.06.2020;Łódzkie;2084
08.06.2020;Małopolskie;1389
08.06.2020;Mazowieckie;3953
08.06.2020;Opolskie;737
08.06.2020;Podkarpackie;396
08.06.2020;Podlaskie;524
08.06.2020;Pomorskie;569
08.06.2020;Śląskie;9965
08.06.2020;Świętokrzyskie;555
08.06.2020;Warmińsko-mazurskie;181
08.06.2020;Wielkopolskie;2286
08.06.2020;Zachodniopomorskie;554
09.06.2020;Dolnośląskie;2736
09.06.2020;Kujawsko-pomorskie;603
09.06.2020;Lubelskie;519
09.06.2020;Lubuskie;129
09.06.2020;Łódzkie;2129
09.06.2020;Małopolskie;1432
09.06.2020;Mazowieckie;4033
09.06.2020;Opolskie;747
09.06.2020;Podkarpackie;407
09.06.2020;Podlaskie;539
09.06.2020;Pomorskie;574
09.06.2020;Śląskie;10102
09.06.2020;Świętokrzyskie;569
09.06.2020;Warmińsko-mazurskie;181
09.06.2020;Wielkopolskie;2300
09.06.2020;Zachodniopomorskie;560
10.06.2020;Dolnośląskie;2739
10.06.2020;Kujawsko-pomorskie;606
10.06.2020;Lubelskie;520
10.06.2020;Lubuskie;129
10.06.2020;Łódzkie;2167
10.06.2020;Małopolskie;1452
10.06.2020;Mazowieckie;4118
10.06.2020;Opolskie;760
10.06.2020;Podkarpackie;412
10.06.2020;Podlaskie;550
10.06.2020;Pomorskie;579
10.06.2020;Śląskie;10178
10.06.2020;Świętokrzyskie;580
10.06.2020;Warmińsko-mazurskie;181
10.06.2020;Wielkopolskie;2306
10.06.2020;Zachodniopomorskie;565
11.06.2020;Dolnośląskie;2749
11.06.2020;Kujawsko-pomorskie;608
11.06.2020;Lubelskie;522
11.06.2020;Lubuskie;129
11.06.2020;Łódzkie;2240
11.06.2020;Małopolskie;1461
11.06.2020;Mazowieckie;4172
11.06.2020;Opolskie;763
11.06.2020;Podkarpackie;414
11.06.2020;Podlaskie;559
11.06.2020;Pomorskie;579
11.06.2020;Śląskie;10335
11.06.2020;Świętokrzyskie;585
11.06.2020;Warmińsko-mazurskie;185
11.06.2020;Wielkopolskie;2333
11.06.2020;Zachodniopomorskie;567
12.06.2020;Dolnośląskie;2750
12.06.2020;Kujawsko-pomorskie;610
12.06.2020;Lubelskie;524
12.06.2020;Lubuskie;130
12.06.2020;Łódzkie;2330
12.06.2020;Małopolskie;1474
12.06.2020;Mazowieckie;4240
12.06.2020;Opolskie;772
12.06.2020;Podkarpackie;422
12.06.2020;Podlaskie;576
12.06.2020;Pomorskie;581
12.06.2020;Śląskie;10473
12.06.2020;Świętokrzyskie;596
12.06.2020;Warmińsko-mazurskie;185
12.06.2020;Wielkopolskie;2345
12.06.2020;Zachodniopomorskie;569
13.06.2020;Dolnośląskie;2767
13.06.2020;Kujawsko-pomorskie;614
13.06.2020;Lubelskie;530
13.06.2020;Lubuskie;131
13.06.2020;Łódzkie;2367
13.06.2020;Małopolskie;1492
13.06.2020;Mazowieckie;4306
13.06.2020;Opolskie;790
13.06.2020;Podkarpackie;438
13.06.2020;Podlaskie;585
13.06.2020;Pomorskie;587
13.06.2020;Śląskie;10682
13.06.2020;Świętokrzyskie;598
13.06.2020;Warmińsko-mazurskie;185
13.06.2020;Wielkopolskie;2369
13.06.2020;Zachodniopomorskie;576
14.06.2020;Dolnośląskie;2767
14.06.2020;Kujawsko-pomorskie;626
14.06.2020;Lubelskie;543
14.06.2020;Lubuskie;132
14.06.2020;Łódzkie;2406
14.06.2020;Małopolskie;1508
14.06.2020;Mazowieckie;4358
14.06.2020;Opolskie;795
14.06.2020;Podkarpackie;458
14.06.2020;Podlaskie;608
14.06.2020;Pomorskie;588
14.06.2020;Śląskie;10842
14.06.2020;Świętokrzyskie;611
14.06.2020;Warmińsko-mazurskie;186
14.06.2020;Wielkopolskie;2383
14.06.2020;Zachodniopomorskie;581
15.06.2020;Dolnośląskie;2767
15.06.2020;Kujawsko-pomorskie;626
15.06.2020;Lubelskie;544
15.06.2020;Lubuskie;133
15.06.2020;Łódzkie;2479
15.06.2020;Małopolskie;1517
15.06.2020;Mazowieckie;4414
15.06.2020;Opolskie;803
15.06.2020;Podkarpackie;472
15.06.2020;Podlaskie;621
15.06.2020;Pomorskie;588
15.06.2020;Śląskie;11030
15.06.2020;Świętokrzyskie;625
15.06.2020;Warmińsko-mazurskie;186
15.06.2020;Wielkopolskie;2400
15.06.2020;Zachodniopomorskie;583
16.06.2020;Dolnośląskie;2778
16.06.2020;Kujawsko-pomorskie;627
16.06.2020;Lubelskie;553
16.06.2020;Lubuskie;133
16.06.2020;Łódzkie;2541
16.06.2020;Małopolskie;1529
16.06.2020;Mazowieckie;4450
16.06.2020;Opolskie;811
16.06.2020;Podkarpackie;485
16.06.2020;Podlaskie;628
16.06.2020;Pomorskie;590
16.06.2020;Śląskie;11246
16.06.2020;Świętokrzyskie;636
16.06.2020;Warmińsko-mazurskie;192
16.06.2020;Wielkopolskie;2408
16.06.2020;Zachodniopomorskie;588
17.06.2020;Dolnośląskie;2814
17.06.2020;Kujawsko-pomorskie;630
17.06.2020;Lubelskie;564
17.06.2020;Lubuskie;140
17.06.2020;Łódzkie;2605
17.06.2020;Małopolskie;1552
17.06.2020;Mazowieckie;4507
17.06.2020;Opolskie;818
17.06.2020;Podkarpackie;504
17.06.2020;Podlaskie;646
17.06.2020;Pomorskie;596
17.06.2020;Śląskie;11455
17.06.2020;Świętokrzyskie;658
17.06.2020;Warmińsko-mazurskie;201
17.06.2020;Wielkopolskie;2420
17.06.2020;Zachodniopomorskie;591
18.06.2020;Dolnośląskie;2825
18.06.2020;Kujawsko-pomorskie;641
18.06.2020;Lubelskie;570
18.06.2020;Lubuskie;140
18.06.2020;Łódzkie;2680
18.06.2020;Małopolskie;1564
18.06.2020;Mazowieckie;4551
18.06.2020;Opolskie;824
18.06.2020;Podkarpackie;516
18.06.2020;Podlaskie;659
18.06.2020;Pomorskie;599
18.06.2020;Śląskie;11543
18.06.2020;Świętokrzyskie;676
18.06.2020;Warmińsko-mazurskie;207
18.06.2020;Wielkopolskie;2429
18.06.2020;Zachodniopomorskie;591
19.06.2020;Dolnośląskie;2838
19.06.2020;Kujawsko-pomorskie;644
19.06.2020;Lubelskie;585
19.06.2020;Lubuskie;140
19.06.2020;Łódzkie;2743
19.06.2020;Małopolskie;1577
19.06.2020;Mazowieckie;4635
19.06.2020;Opolskie;834
19.06.2020;Podkarpackie;529
19.06.2020;Podlaskie;673
19.06.2020;Pomorskie;601
19.06.2020;Śląskie;11583
19.06.2020;Świętokrzyskie;687
19.06.2020;Warmińsko-mazurskie;212
19.06.2020;Wielkopolskie;2440
19.06.2020;Zachodniopomorskie;595
20.06.2020;Dolnośląskie;2851
20.06.2020;Kujawsko-pomorskie;649
20.06.2020;Lubelskie;590
20.06.2020;Lubuskie;143
20.06.2020;Łódzkie;2787
20.06.2020;Małopolskie;1600
20.06.2020;Mazowieckie;4687
20.06.2020;Opolskie;838
20.06.2020;Podkarpackie;536
20.06.2020;Podlaskie;688
20.06.2020;Pomorskie;603
20.06.2020;Śląskie;11697
20.06.2020;Świętokrzyskie;698
20.06.2020;Warmińsko-mazurskie;209
20.06.2020;Wielkopolskie;2448
20.06.2020;Zachodniopomorskie;596
21.06.2020;Dolnośląskie;2853
21.06.2020;Kujawsko-pomorskie;652
21.06.2020;Lubelskie;601
21.06.2020;Lubuskie;144
21.06.2020;Łódzkie;2830
21.06.2020;Małopolskie;1616
21.06.2020;Mazowieckie;4726
21.06.2020;Opolskie;852
21.06.2020;Podkarpackie;549
21.06.2020;Podlaskie;703
21.06.2020;Pomorskie;615
21.06.2020;Śląskie;11825
21.06.2020;Świętokrzyskie;704
21.06.2020;Warmińsko-mazurskie;209
21.06.2020;Wielkopolskie;2455
21.06.2020;Zachodniopomorskie;597
22.06.2020;Dolnośląskie;2857
22.06.2020;Kujawsko-pomorskie;652
22.06.2020;Lubelskie;606
22.06.2020;Lubuskie;145
22.06.2020;Łódzkie;2878
22.06.2020;Małopolskie;1622
22.06.2020;Mazowieckie;4759
22.06.2020;Opolskie;852
22.06.2020;Podkarpackie;557
22.06.2020;Podlaskie;726
22.06.2020;Pomorskie;617
22.06.2020;Śląskie;11955
22.06.2020;Świętokrzyskie;719
22.06.2020;Warmińsko-mazurskie;211
22.06.2020;Wielkopolskie;2474
22.06.2020;Zachodniopomorskie;597
23.06.2020;Dolnośląskie;2867
23.06.2020;Kujawsko-pomorskie;652
23.06.2020;Lubelskie;610
23.06.2020;Lubuskie;145
23.06.2020;Łódzkie;2918
23.06.2020;Małopolskie;1624
23.06.2020;Mazowieckie;4799
23.06.2020;Opolskie;857
23.06.2020;Podkarpackie;565
23.06.2020;Podlaskie;736
23.06.2020;Pomorskie;636
23.06.2020;Śląskie;12084
23.06.2020;Świętokrzyskie;721
23.06.2020;Warmińsko-mazurskie;213
23.06.2020;Wielkopolskie;2501
23.06.2020;Zachodniopomorskie;599
24.06.2020;Dolnośląskie;2878
24.06.2020;Kujawsko-pomorskie;653
24.06.2020;Lubelskie;614
24.06.2020;Lubuskie;145
24.06.2020;Łódzkie;2957
24.06.2020;Małopolskie;1629
24.06.2020;Mazowieckie;4832
24.06.2020;Opolskie;866
24.06.2020;Podkarpackie;577
24.06.2020;Podlaskie;749
24.06.2020;Pomorskie;643
24.06.2020;Śląskie;12192
24.06.2020;Świętokrzyskie;742
24.06.2020;Warmińsko-mazurskie;223
24.06.2020;Wielkopolskie;2518
24.06.2020;Zachodniopomorskie;603
25.06.2020;Dolnośląskie;2884
25.06.2020;Kujawsko-pomorskie;661
25.06.2020;Lubelskie;619
25.06.2020;Lubuskie;146
25.06.2020;Łódzkie;2996
25.06.2020;Małopolskie;1640
25.06.2020;Mazowieckie;4861
25.06.2020;Opolskie;889
25.06.2020;Podkarpackie;589
25.06.2020;Podlaskie;763
25.06.2020;Pomorskie;646
25.06.2020;Śląskie;12317
25.06.2020;Świętokrzyskie;750
25.06.2020;Warmińsko-mazurskie;227
25.06.2020;Wielkopolskie;2527
25.06.2020;Zachodniopomorskie;604
26.06.2020;Dolnośląskie;2902
26.06.2020;Kujawsko-pomorskie;661
26.06.2020;Lubelskie;622
26.06.2020;Lubuskie;147
26.06.2020;Łódzkie;3011
26.06.2020;Małopolskie;1657
26.06.2020;Mazowieckie;4902
26.06.2020;Opolskie;892
26.06.2020;Podkarpackie;603
26.06.2020;Podlaskie;778
26.06.2020;Pomorskie;649
26.06.2020;Śląskie;12413
26.06.2020;Świętokrzyskie;752
26.06.2020;Warmińsko-mazurskie;236
26.06.2020;Wielkopolskie;2562
26.06.2020;Zachodniopomorskie;608
27.06.2020;Dolnośląskie;2908
27.06.2020;Kujawsko-pomorskie;666
27.06.2020;Lubelskie;632
27.06.2020;Lubuskie;149
27.06.2020;Łódzkie;3060
27.06.2020;Małopolskie;1667
27.06.2020;Mazowieckie;4943
27.06.2020;Opolskie;913
27.06.2020;Podkarpackie;621
27.06.2020;Podlaskie;787
27.06.2020;Pomorskie;653
27.06.2020;Śląskie;12494
27.06.2020;Świętokrzyskie;766
27.06.2020;Warmińsko-mazurskie;236
27.06.2020;Wielkopolskie;2610
27.06.2020;Zachodniopomorskie;609
28.06.2020;Dolnośląskie;2910
28.06.2020;Kujawsko-pomorskie;669
28.06.2020;Lubelskie;642
28.06.2020;Lubuskie;149
28.06.2020;Łódzkie;3086
28.06.2020;Małopolskie;1685
28.06.2020;Mazowieckie;4975
28.06.2020;Opolskie;932
28.06.2020;Podkarpackie;635
28.06.2020;Podlaskie;806
28.06.2020;Pomorskie;657
28.06.2020;Śląskie;12524
28.06.2020;Świętokrzyskie;776
28.06.2020;Warmińsko-mazurskie;240
28.06.2020;Wielkopolskie;2612
28.06.2020;Zachodniopomorskie;609
29.06.2020;Dolnośląskie;2913
29.06.2020;Kujawsko-pomorskie;669
29.06.2020;Lubelskie;651
29.06.2020;Lubuskie;149
29.06.2020;Łódzkie;3107
29.06.2020;Małopolskie;1701
29.06.2020;Mazowieckie;5002
29.06.2020;Opolskie;940
29.06.2020;Podkarpackie;647
29.06.2020;Podlaskie;823
29.06.2020;Pomorskie;666
